"Year","Location Description","Data Source","Topic Description","Measure Description","Response","Data Value Type","Data Value","Low Confidence Limit","High Confidence Limit","Sample Size","Gender","Age","Race","Education"
"2014-2015","Alabama","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","18.2","16.3","20.1","3727","Overall","All Ages","All Races","All Grades"
"2010-2011","Alabama","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","17.9","15.1","20.7","2518","Overall","All Ages","All Races","All Grades"
"2006-2007","Alabama","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","21.2","19.4","23.0","2580","Overall","All Ages","All Races","All Grades"
"2003","Alabama","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","19.1","17.4","20.8","2909","Overall","All Ages","All Races","All Grades"
"2001-2002   ","Alabama","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","22.2","20.5","23.9","3577","Overall","All Ages","All Races","All Grades"
"1998-1999   ","Alabama","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","22.3","20.8","23.8","3166","Overall","All Ages","All Races","All Grades"
"1995-1996   ","Alabama","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","23.2","21.6","24.8","3172","Overall","All Ages","All Races","All Grades"
"1992-1993   ","Alabama","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","25.8","24.1","27.6","3765","Overall","All Ages","All Races","All Grades"
"2014-2015","Alaska","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","16.2","14.4","18.0","2622","Overall","All Ages","All Races","All Grades"
"2010-2011","Alaska","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","19.6","16.8","22.4","2742","Overall","All Ages","All Races","All Grades"
"2006-2007","Alaska","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","22.7","20.7","24.7","2941","Overall","All Ages","All Races","All Grades"
"2003","Alaska","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","24.4","22.4","26.4","2370","Overall","All Ages","All Races","All Grades"
"2001-2002   ","Alaska","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","23.7","22.0","25.5","2986","Overall","All Ages","All Races","All Grades"
"1998-1999   ","Alaska","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","26.7","24.9","28.5","2383","Overall","All Ages","All Races","All Grades"
"1995-1996   ","Alaska","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","25.3","23.6","27.0","2251","Overall","All Ages","All Races","All Grades"
"1992-1993   ","Alaska","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","27.2","25.4","29.0","3459","Overall","All Ages","All Races","All Grades"
"2014-2015","Arizona","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","11.9","10.1","13.7","3297","Overall","All Ages","All Races","All Grades"
"2010-2011","Arizona","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","13.9","12.0","15.8","2876","Overall","All Ages","All Races","All Grades"
"2006-2007","Arizona","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","17.6","16.2","19.0","2915","Overall","All Ages","All Races","All Grades"
"2003","Arizona","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","17.5","15.7","19.3","2426","Overall","All Ages","All Races","All Grades"
"2001-2002   ","Arizona","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","19.3","17.6","21.0","2956","Overall","All Ages","All Races","All Grades"
"1998-1999   ","Arizona","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","19.9","18.5","21.2","3445","Overall","All Ages","All Races","All Grades"
"1995-1996   ","Arizona","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","22.8","21.2","24.4","3289","Overall","All Ages","All Races","All Grades"
"1992-1993   ","Arizona","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","22.6","21.0","24.2","2786","Overall","All Ages","All Races","All Grades"
"2014-2015","Arkansas","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","20.0","17.9","22.0","3584","Overall","All Ages","All Races","All Grades"
"2010-2011","Arkansas","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","21.6","19.1","24.1","2531","Overall","All Ages","All Races","All Grades"
"2006-2007","Arkansas","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","23.9","22.0","25.8","2682","Overall","All Ages","All Races","All Grades"
"2003","Arkansas","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","26.1","24.0","28.2","2301","Overall","All Ages","All Races","All Grades"
"2001-2002   ","Arkansas","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","24.8","22.9","26.7","2726","Overall","All Ages","All Races","All Grades"
"1998-1999   ","Arkansas","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","26.0","24.4","27.6","3169","Overall","All Ages","All Races","All Grades"
"1995-1996   ","Arkansas","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","26.6","24.9","28.3","3129","Overall","All Ages","All Races","All Grades"
"1992-1993   ","Arkansas","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","28.8","27.0","30.7","3658","Overall","All Ages","All Races","All Grades"
"2014-2015","California","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","8.0","7.4","8.6","18747","Overall","All Ages","All Races","All Grades"
"2010-2011","California","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","10.3","9.8","10.8","18885","Overall","All Ages","All Races","All Grades"
"2006-2007","California","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","12.0","11.5","12.5","18158","Overall","All Ages","All Races","All Grades"
"2003","California","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","13.2","12.5","13.9","11852","Overall","All Ages","All Races","All Grades"
"2001-2002   ","California","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","14.6","13.9","15.2","15878","Overall","All Ages","All Races","All Grades"
"1998-1999   ","California","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","16.6","16.0","17.1","18721","Overall","All Ages","All Races","All Grades"
"1995-1996   ","California","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","17.9","17.3","18.5","17647","Overall","All Ages","All Races","All Grades"
"1992-1993   ","California","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","19.1","18.6","19.7","20809","Overall","All Ages","All Races","All Grades"
"2014-2015","Colorado","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","13.1","11.6","14.5","3212","Overall","All Ages","All Races","All Grades"
"2010-2011","Colorado","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","13.3","11.7","14.9","4601","Overall","All Ages","All Races","All Grades"
"2006-2007","Colorado","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","16.2","14.6","17.8","4645","Overall","All Ages","All Races","All Grades"
"2003","Colorado","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","18.3","16.8","19.8","3702","Overall","All Ages","All Races","All Grades"
"2001-2002   ","Colorado","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","19.6","18.2","21.0","4579","Overall","All Ages","All Races","All Grades"
"1998-1999   ","Colorado","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","20.2","18.7","21.7","3389","Overall","All Ages","All Races","All Grades"
"1995-1996   ","Colorado","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","22.6","20.9","24.2","3219","Overall","All Ages","All Races","All Grades"
"1992-1993   ","Colorado","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","24.2","22.4","26.0","3253","Overall","All Ages","All Races","All Grades"
"2014-2015","Connecticut","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","12.3","10.5","14.2","3442","Overall","All Ages","All Races","All Grades"
"2010-2011","Connecticut","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","13.2","12.0","14.4","5112","Overall","All Ages","All Races","All Grades"
"2006-2007","Connecticut","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","15.4","13.8","17.0","4595","Overall","All Ages","All Races","All Grades"
"2003","Connecticut","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","15.5","14.1","16.9","3129","Overall","All Ages","All Races","All Grades"
"2001-2002   ","Connecticut","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","18.2","16.9","19.6","4198","Overall","All Ages","All Races","All Grades"
"1998-1999   ","Connecticut","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","20.6","18.9","22.2","2388","Overall","All Ages","All Races","All Grades"
"1995-1996   ","Connecticut","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","19.8","18.1","21.5","2325","Overall","All Ages","All Races","All Grades"
"1992-1993   ","Connecticut","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","22.2","20.4","24.0","2755","Overall","All Ages","All Races","All Grades"
"2014-2015","Delaware","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","13.3","11.4","15.1","3161","Overall","All Ages","All Races","All Grades"
"2010-2011","Delaware","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","15.9","14.4","17.4","3523","Overall","All Ages","All Races","All Grades"
"2006-2007","Delaware","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","17.8","16.1","19.5","3425","Overall","All Ages","All Races","All Grades"
"2003","Delaware","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","19.0","17.2","20.8","2483","Overall","All Ages","All Races","All Grades"
"2001-2002   ","Delaware","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","20.3","18.7","22.0","2914","Overall","All Ages","All Races","All Grades"
"1998-1999   ","Delaware","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","23.3","21.7","25.0","2306","Overall","All Ages","All Races","All Grades"
"1995-1996   ","Delaware","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","24.8","23.1","26.6","2302","Overall","All Ages","All Races","All Grades"
"1992-1993   ","Delaware","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","23.3","21.6","25.0","2236","Overall","All Ages","All Races","All Grades"
"2014-2015","District of Columbia","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","12.2","10.8","13.6","3947","Overall","All Ages","All Races","All Grades"
"2010-2011","District of Columbia","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","11.8","10.3","13.3","3148","Overall","All Ages","All Races","All Grades"
"2006-2007","District of Columbia","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","15.1","13.3","16.9","2832","Overall","All Ages","All Races","All Grades"
"2003","District of Columbia","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","16.3","14.6","18.0","2058","Overall","All Ages","All Races","All Grades"
"2001-2002   ","District of Columbia","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","18.1","16.4","19.8","2498","Overall","All Ages","All Races","All Grades"
"1998-1999   ","District of Columbia","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","23.5","21.8","25.3","2121","Overall","All Ages","All Races","All Grades"
"1995-1996   ","District of Columbia","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","22.2","20.5","24.0","2275","Overall","All Ages","All Races","All Grades"
"1992-1993   ","District of Columbia","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","22.9","20.9","24.8","2209","Overall","All Ages","All Races","All Grades"
"2014-2015","Florida","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","12.1","11.2","13.0","9244","Overall","All Ages","All Races","All Grades"
"2010-2011","Florida","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","14.2","13.1","15.3","8842","Overall","All Ages","All Races","All Grades"
"2006-2007","Florida","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","15.8","15.0","16.6","9285","Overall","All Ages","All Races","All Grades"
"2003","Florida","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","17.4","16.4","18.4","7767","Overall","All Ages","All Races","All Grades"
"2001-2002   ","Florida","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","19.3","18.4","20.2","9713","Overall","All Ages","All Races","All Grades"
"1998-1999   ","Florida","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","20.7","19.9","21.4","11106","Overall","All Ages","All Races","All Grades"
"1995-1996   ","Florida","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","22.2","21.5","23.0","10714","Overall","All Ages","All Races","All Grades"
"1992-1993   ","Florida","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","23.9","23.2","24.7","12271","Overall","All Ages","All Races","All Grades"
"2014-2015","Georgia","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","13.4","12.2","14.7","4918","Overall","All Ages","All Races","All Grades"
"2010-2011","Georgia","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","15.0","13.3","16.7","4567","Overall","All Ages","All Races","All Grades"
"2006-2007","Georgia","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","17.9","16.7","19.1","4648","Overall","All Ages","All Races","All Grades"
"2003","Georgia","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","17.5","15.8","19.2","2538","Overall","All Ages","All Races","All Grades"
"2001-2002   ","Georgia","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","21.2","19.6","22.9","2947","Overall","All Ages","All Races","All Grades"
"1998-1999   ","Georgia","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","19.9","18.6","21.2","3753","Overall","All Ages","All Races","All Grades"
"1995-1996   ","Georgia","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","22.8","21.3","24.3","3942","Overall","All Ages","All Races","All Grades"
"1992-1993   ","Georgia","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","24.4","22.7","26.0","3124","Overall","All Ages","All Races","All Grades"
"2014-2015","Hawaii","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","10.5","9.0","12.0","3511","Overall","All Ages","All Races","All Grades"
"2010-2011","Hawaii","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","13.5","12.0","15.0","3538","Overall","All Ages","All Races","All Grades"
"2006-2007","Hawaii","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","15.3","13.8","16.8","3440","Overall","All Ages","All Races","All Grades"
"2003","Hawaii","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","16.2","14.3","18.1","1908","Overall","All Ages","All Races","All Grades"
"2001-2002   ","Hawaii","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","19.0","17.3","20.6","3023","Overall","All Ages","All Races","All Grades"
"1998-1999   ","Hawaii","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","18.3","16.7","20.0","2283","Overall","All Ages","All Races","All Grades"
"1995-1996   ","Hawaii","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","21.8","20.0","23.5","2150","Overall","All Ages","All Races","All Grades"
"1992-1993   ","Hawaii","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","22.1","20.5","23.7","2535","Overall","All Ages","All Races","All Grades"
"2014-2015","Idaho","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","13.3","11.6","15.0","3198","Overall","All Ages","All Races","All Grades"
"2010-2011","Idaho","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","14.9","12.6","17.2","2561","Overall","All Ages","All Races","All Grades"
"2006-2007","Idaho","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","15.1","13.5","16.7","2828","Overall","All Ages","All Races","All Grades"
"2003","Idaho","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","21.0","19.1","22.9","2551","Overall","All Ages","All Races","All Grades"
"2001-2002   ","Idaho","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","21.4","19.6","23.1","3024","Overall","All Ages","All Races","All Grades"
"1998-1999   ","Idaho","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","21.8","20.4","23.3","3391","Overall","All Ages","All Races","All Grades"
"1995-1996   ","Idaho","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","22.3","20.7","23.9","3290","Overall","All Ages","All Races","All Grades"
"1992-1993   ","Idaho","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","23.5","21.9","25.1","3545","Overall","All Ages","All Races","All Grades"
"2014-2015","Illinois","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","12.8","11.7","13.9","6737","Overall","All Ages","All Races","All Grades"
"2010-2011","Illinois","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","16.3","15.1","17.5","6707","Overall","All Ages","All Races","All Grades"
"2006-2007","Illinois","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","18.3","17.3","19.3","6612","Overall","All Ages","All Races","All Grades"
"2003","Illinois","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","19.0","17.9","20.1","6166","Overall","All Ages","All Races","All Grades"
"2001-2002   ","Illinois","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","21.8","20.7","22.9","8047","Overall","All Ages","All Races","All Grades"
"1998-1999   ","Illinois","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","22.9","22.0","23.8","9061","Overall","All Ages","All Races","All Grades"
"1995-1996   ","Illinois","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","23.7","22.7","24.6","9553","Overall","All Ages","All Races","All Grades"
"1992-1993   ","Illinois","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","24.6","23.7","25.5","10849","Overall","All Ages","All Races","All Grades"
"2014-2015","Indiana","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","18.9","16.9","20.8","3595","Overall","All Ages","All Races","All Grades"
"2010-2011","Indiana","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","19.5","17.0","22.0","3407","Overall","All Ages","All Races","All Grades"
"2006-2007","Indiana","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","24.4","22.8","26.0","3551","Overall","All Ages","All Races","All Grades"
"2003","Indiana","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","23.2","21.6","24.8","3731","Overall","All Ages","All Races","All Grades"
"2001-2002   ","Indiana","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","24.7","23.2","26.2","4435","Overall","All Ages","All Races","All Grades"
"1998-1999   ","Indiana","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","27.0","25.4","28.6","3159","Overall","All Ages","All Races","All Grades"
"1995-1996   ","Indiana","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","28.9","27.2","30.7","3096","Overall","All Ages","All Races","All Grades"
"1992-1993   ","Indiana","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","27.8","26.1","29.6","3307","Overall","All Ages","All Races","All Grades"
"2014-2015","Iowa","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","15.6","13.8","17.5","3161","Overall","All Ages","All Races","All Grades"
"2010-2011","Iowa","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","18.5","16.7","20.3","4304","Overall","All Ages","All Races","All Grades"
"2006-2007","Iowa","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","21.1","19.3","22.9","4562","Overall","All Ages","All Races","All Grades"
"2003","Iowa","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","19.3","17.7","20.9","3360","Overall","All Ages","All Races","All Grades"
"2001-2002   ","Iowa","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","21.8","20.2","23.4","4121","Overall","All Ages","All Races","All Grades"
"1998-1999   ","Iowa","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","22.4","20.8","24.0","3127","Overall","All Ages","All Races","All Grades"
"1995-1996   ","Iowa","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","23.4","21.8","25.1","3116","Overall","All Ages","All Races","All Grades"
"1992-1993   ","Iowa","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","23.4","21.8","25.0","3990","Overall","All Ages","All Races","All Grades"
"2014-2015","Kansas","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","17.6","15.8","19.4","3262","Overall","All Ages","All Races","All Grades"
"2010-2011","Kansas","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","17.5","14.8","20.2","3471","Overall","All Ages","All Races","All Grades"
"2006-2007","Kansas","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","20.3","18.4","22.2","3396","Overall","All Ages","All Races","All Grades"
"2003","Kansas","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","21.1","19.4","22.8","3490","Overall","All Ages","All Races","All Grades"
"2001-2002   ","Kansas","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","22.5","20.9","24.2","3929","Overall","All Ages","All Races","All Grades"
"1998-1999   ","Kansas","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","22.5","20.8","24.1","3113","Overall","All Ages","All Races","All Grades"
"1995-1996   ","Kansas","TUS-CPS","Cigarette Use (Adults)","Current Smoking","","Percentage","25.9","24.1","27.6","3064","Overall","All Ages","All Races","All Grades"
